day,fold,T,tau_star,tau_robust,NB_star,NB_robust,NB_low90_at_robust,max_NB_point,max_NB_low90,NB_all_at_star,NB_all_at_robust,prevalence,treat_rate_star,treat_rate_rob
3,4,75,0.05,0.05,0.11750784586098678,0.11750784586098678,0.10204563619865031,0.11750784586098678,0.10204563619865031,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.21114369501466276,0.21114369501466276
3,4,100,0.05,0.05,0.03652827082368678,0.03652827082368678,0.026725264549674742,0.03652827082368678,0.026725264549674742,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.10752688172043011,0.10752688172043011
3,5,75,0.05,0.05,0.11556176577136056,0.11556176577136056,0.0984568095729048,0.11556176577136056,0.0984568095729048,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.24287118977384464,0.24287118977384464
3,5,100,0.05,0.05,0.04362676603011954,0.04362676603011954,0.03256901530672074,0.04362676603011954,0.03256901530672074,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.11504424778761062,0.11504424778761062
4,1,75,0.05,0.05,0.1156369183829138,0.1156369183829138,0.09959258053861567,0.1156369183829138,0.09959258053861567,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.2763285024154589,0.2763285024154589
4,1,100,0.05,0.05,0.03793541825578439,0.03793541825578439,0.02722382774406698,0.03793541825578439,0.02722382774406698,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.1294685990338164,0.1294685990338164
4,2,75,0.05,0.05,0.13086495308037535,0.13086495308037535,0.1138969412280752,0.13086495308037535,0.1138969412280752,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.24612403100775193,0.24612403100775193
4,2,100,0.05,0.05,0.058496532027743776,0.058496532027743776,0.04717464476884735,0.058496532027743776,0.04717464476884735,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.12887596899224807,0.12887596899224807
4,3,75,0.05,0.05,0.11893303297153389,0.11893303297153389,0.10406237028486716,0.11893303297153389,0.10406237028486716,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.25,0.25
4,3,100,0.05,0.05,0.05826336268687282,0.05826336268687282,0.046040618689052557,0.05826336268687282,0.046040618689052557,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.13813229571984437,0.13813229571984437
4,4,75,0.05,0.05,0.128003292689201,0.128003292689201,0.11236216942942236,0.128003292689201,0.11236216942942236,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.22678396871945258,0.22678396871945258
