threshold,MCC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,TP,TN,FP,FN
0.6,0.7272323988337307,0.941333982473223,0.7972859694616582,0.9488636363636364,0.599640933572711,0.9949310053506054,0.7348734873487349,334,3533,18,223
0.74,0.7267756580717152,0.9410905550146057,0.7873059754578957,0.981651376146789,0.5763016157989228,0.9983103351168685,0.7262443438914027,321,3545,6,236
0.72,0.7264667396501351,0.9410905550146057,0.7895765574417806,0.972972972972973,0.5816876122082585,0.9974655026753028,0.7280898876404494,324,3542,9,233
0.43,0.7260918661299005,0.9403602726387537,0.8239697316405675,0.8644859813084113,0.6642728904847397,0.9836665727963954,0.7512690355329951,370,3493,58,187
0.75,0.7255193183459684,0.9408471275559883,0.786408309389673,0.9815950920245399,0.5745062836624776,0.9983103351168685,0.7248018120045301,320,3545,6,237
0.73,0.7253036773920928,0.9408471275559883,0.787922030712263,0.9757575757575757,0.578096947935368,0.997747113489158,0.7260428410372041,322,3543,8,235
0.76,0.7242614684810953,0.9406037000973709,0.7855106433214505,0.9815384615384616,0.5727109515260324,0.9983103351168685,0.7233560090702947,319,3545,6,238
0.47000000000000003,0.7240391434781085,0.9403602726387537,0.8148874037050275,0.8861386138613861,0.6427289048473968,0.9870459025626585,0.7450572320499479,358,3505,46,199
0.52,0.72394971863572255,0.9406037000973709,0.8067027418377103,0.910761154855643,0.6229802513464991,0.9904252323289214,0.7398720682302772,347,3517,34,210
0.48000000000000004,0.7238979728314888,0.9403602726387537,0.8141305430437327,0.8880597014925373,0.6409335727109515,0.9873275133765137,0.7445255474452555,357,3506,45,200
0.53,0.7237337563749999,0.9406037000973709,0.8044321598538253,0.9173333333333333,0.6175942549371634,0.9912700647704872,0.7381974248927039,344,3520,31,213
0.42000000000000004,0.7233404514980044,0.9396299902629016,0.8250610367423746,0.8551724137931035,0.6678635547576302,0.9822585187271191,0.7500000000000001,372,3488,63,185
0.46,0.7232256412939858,0.9401168451801363,0.8162603196206899,0.8801955990220048,0.6463195691202872,0.9862010701210927,0.7453416149068323,360,3502,49,197
0.77,0.7230021000938153,0.9403602726387537,0.7846129772532278,0.9814814814814815,0.5709156193895871,0.9983103351168685,0.7219069239500567,318,3545,6,239
0.44,0.7229899339027661,0.939873417721519,0.8199038175202373,0.8690476190476191,0.6552962298025135,0.9845114052379611,0.7471852610030706,365,3496,55,192
0.49,0.7222368443143636,0.9401168451801363,0.810962294991625,0.8936708860759494,0.6337522441651705,0.9881723458180794,0.7415966386554621,353,3509,42,204
0.78,0.7217412047336885,0.9401168451801363,0.7837153111850051,0.9814241486068112,0.5691202872531418,0.9983103351168685,0.7204545454545453,317,3545,6,240
0.45,0.7215398533955101,0.9396299902629016,0.8182492907907197,0.8705035971223022,0.651705565529623,0.98479301605181635,0.7453798767967147,363,3497,54,194
0.41000000000000003,0.7214831928819924,0.939143135345667,0.8255362865898144,0.8496583143507973,0.6696588868940754,0.9814136862855534,0.7489959839357428,373,3485,66,184
0.79,0.7204787738823565,0.939873417721519,0.7828176451167825,0.9813664596273292,0.5673249551166966,0.9983103351168685,0.7189988623435722,316,3545,6,241
0.8,0.7204787738823565,0.939873417721519,0.7828176451167825,0.9813664596273292,0.5673249551166966,0.9983103351168685,0.7189988623435722,316,3545,6,241
0.51,0.7204130664312351,0.939873417721519,0.8062803256169274,0.9036458333333334,0.6229802513464991,0.9895803998873557,0.7375132837407014,347,3514,37,210
0.4,0.7196594711517434,0.9386562804284323,0.8260115364372541,0.8442437923250564,0.6714542190305206,0.9805688538439876,0.748,374,3482,69,183
0.5,0.7181878633173905,0.9393865628042843,0.8067555754643672,0.8969072164948454,0.6247755834829444,0.9887355674457899,0.7365079365079366,348,3511,40,209
0.39,0.711412118992356,0.9364654333008764,0.8270148697587905,0.8231441048034934,0.6768402154398564,0.9771895240777246,0.7428571428571429,377,3470,81,180
0.38,0.7106540075469852,0.9359785783836416,0.8297607015901152,0.8141025641025641,0.6840215439856373,0.975499859194593,0.7434146341463416,381,3464,87,176
0.36000000000000004,0.705438267200996,0.934031158714703,0.8339322829637592,0.7918367346938775,0.696588868940754,0.9712756969867643,0.7411652340019101,388,3449,102,169
0.37,0.7049139811818071,0.9345180136319376,0.8289158691485494,0.8037974683544303,0.6840215439856373,0.9738101943114615,0.7390882638215324,381,3458,93,176
