day,threshold,n,share_reaching_threshold,success_if_reached,success_if_not
8,25%,4888,0.397708674304419,0.23148148148148148,0.058423913043478264
8,50%,4888,0.21992635024549917,0.37488372093023253,0.057435090479937057
8,75%,4888,0.10045008183306056,0.6965376782077393,0.063679781669319993
9,10%,4888,0.6084288052373159,0.1590450571620713,0.07784743991640543
9,25%,4888,0.40814238952536824,0.22656641604010025,0.058762530245419976
9,50%,4888,0.22667757774140754,0.37184115523465705,0.05555555555555555
9,75%,4888,0.10822422258592472,0.6824196597353497,0.05987611837577426
10,10%,4888,0.6151800327332242,0.15862986365147988,0.07708665603402445
10,25%,4888,0.4177577741407529,0.22428991185112634,0.05762473647224174
10,50%,4888,0.23199672667757773,0.36860670194003525,0.05434203516249334
10,75%,4888,0.1131342062193126,0.6726943942133815,0.05767012687427912
11,10%,4888,0.6221358428805237,0.15784281486353174,0.0768814293448836
11,25%,4888,0.42532733224222585,0.2222222222222222,0.05695977216091136
11,50%,4888,0.23752045826513912,0.3652024117140396,0.05312583847598605
11,75%,4888,0.11661211129296235,0.6666666666666666,0.05604446503010653
12,10%,4888,0.6295008183306056,0.1566460838479038,0.07730535615681944
12,25%,4888,0.43330605564648117,0.2190745986779981,0.05703971119133574
12,50%,4888,0.2430441898527005,0.35774410774410775,0.05324324324324324
12,75%,4888,0.12131751227495909,0.657672849915683,0.054016298020954596
13,10%,4888,0.632569558101473,0.1558861578266494,0.0779510022271715
13,25%,4888,0.4390343698854337,0.21714818266542404,0.05689277899343545
13,50%,4888,0.24631751227495907,0.3554817275747508,0.05266015200868621
13,75%,4888,0.12418166939443535,0.6490939044481054,0.053258584442887176
14,10%,4888,0.6370703764320785,0.15574823378291586,0.07722660653889515
14,25%,4888,0.443126022913257,0.21791320406278855,0.055106539309331376
14,50%,4888,0.25081833060556463,0.3539967373572594,0.05133806663025669
14,75%,4888,0.12684124386252046,0.6435483870967742,0.05224929709465792
15,10%,4888,0.6409574468085106,0.15480370252154485,0.07806267806267807
15,25%,4888,0.4455810147299509,0.21671258034894397,0.055350553505535055
15,50%,4888,0.25470540098199673,0.3502008032128514,0.051056821301125446
15,75%,4888,0.12684124386252046,0.6435483870967742,0.05224929709465792
16,10%,4888,0.6434124386252046,0.1545310015898251,0.07802639127940333
16,25%,4888,0.449468085106383,0.21483841602184797,0.055741360089186176
16,50%,4888,0.25675122749590834,0.34820717131474105,0.05092210294522433
16,75%,4888,0.12970540098199673,0.6324921135646687,0.05195110484250118
17,10%,4888,0.6458674304418985,0.1542603737725689,0.0779896013864818
17,25%,4888,0.4525368248772504,0.2147377938517179,0.05493273542600897
17,50%,4888,0.25981996726677575,0.347244094488189,0.05002763957987839
17,75%,4888,0.13297872340425532,0.6276923076923077,0.05049551675318546
18,10%,4888,0.648936170212766,0.1544766708701135,0.07692307692307693
18,25%,4888,0.4564238952536825,0.21470192738682206,0.05382009785472337
18,50%,4888,0.2630932896890344,0.34603421461897355,0.04913936701832315
18,75%,4888,0.13481996726677578,0.6267071320182094,0.049420666824308346
19,10%,4888,0.6518003273322422,0.15411173885750157,0.07696827262044653
19,25%,4888,0.4582651391162029,0.21473214285714284,0.05324773413897281
19,50%,4888,0.26595744680851063,0.34384615384615386,0.048773690078037904
19,75%,4888,0.13707037643207856,0.6179104477611941,0.049312470365101946
20,10%,4888,0.6538461538461539,0.15362953692115144,0.07742316784869976
20,25%,4888,0.4605155482815057,0.2136828076410484,0.053469852104664393
20,50%,4888,0.26759410801963995,0.3440366972477064,0.048044692737430165
20,75%,4888,0.13850245499181668,0.6159527326440177,0.04868202327238186
