MCC_mean,MCC_sd,thr_mean,Recall_mean,Precision_mean,mtry,min_node,class_w_mult
0.25885935304167024,0.042631821998109616,0.316,0.2942245817245817,0.4222875711935702,5,5,3
0.2587463640710581,0.04519055953008204,0.338,0.2638996138996139,0.46435185185185185,5,10,10
0.2585627834962192,0.043570430011672,0.362,0.23885135135135135,0.4797879676905628,5,1,5
0.2585242672933352,0.04439856286818834,0.336,0.2551158301158301,0.45858027295111475,4,5,5
0.2577595429705701,0.0472441302863365,0.33,0.25506756756756754,0.4372892482450116,4,5,8
0.25726339241285234,0.04663892075920693,0.338,0.2656692406692407,0.4412610508757298,5,1,8
0.2564499121480534,0.05079914305446022,0.372,0.23167631917631917,0.4954140665342167,5,10,1
0.2561696167411432,0.040542882333709805,0.386,0.21722972972972973,0.5070719074839838,5,1,1
0.25589660541384057,0.0413326305686833,0.364,0.23706563706563707,0.48542236086353735,5,5,10
0.25533399766066206,0.051907532764049476,0.334,0.27643178893178894,0.45927500145294803,4,5,1
0.25530095957473925,0.04989974229892423,0.34600000000000003,0.24245495495495495,0.45146817452734744,5,1,2
0.25522118167121877,0.04671273269081102,0.332,0.26565315315315313,0.45036392970420575,5,5,5
0.25447665381478063,0.04584770794544934,0.39,0.20123873873873874,0.5154163004802391,5,10,2
0.2539217065505123,0.04518532409957593,0.324,0.27638352638352637,0.42744141208346664,5,10,8
0.2516035608676789,0.049769350146010964,0.398,0.20846203346203346,0.49385284233154414,5,5,8
