day,feature
15,category_mapEnvironment
15,category_mapEvents
15,category_mapFaith
15,category_mapFamily
15,category_mapFunerals & Memorials
15,category_mapMedical
15,category_mapNon-Profits & Charities
15,category_mapOther
15,"category_mapRent, Food & Monthly Bills"
15,category_mapSports
15,category_mapTravel
15,category_mapVolunteer
15,category_mapWishes
15,goal_category>50K
15,goal_category20K-50K
15,goal_category5K-20K
15,duration_category>90gg
15,duration_category30-60gg
15,duration_category60-90gg
15,pct_goal_cum_d13
15,pct_goal_cum_d14
15,pct_goal_cum_d15
15,donors_cum_d13
15,donors_cum_d14
15,donors_cum_d15
15,pct_goal_speed
15,donors_speed
16,goal_amount
16,campaign_duration
16,text_length
16,n_caratteri
16,n_parole
16,n_frasi
16,parole_per_frase
16,caratteri_per_parola
16,positive_emotions
16,negative_emotions
16,emotional_balance
16,intensita_emotiva_totale
16,densita_emotiva
16,disaster
16,category_mapBusiness
16,category_mapCommunity
16,category_mapCompetitions
16,category_mapCreative
16,category_mapEducation
16,category_mapEmergencies
16,category_mapEnvironment
16,category_mapEvents
16,category_mapFaith
16,category_mapFamily
16,category_mapFunerals & Memorials
16,category_mapMedical
16,category_mapNon-Profits & Charities
16,category_mapOther
16,"category_mapRent, Food & Monthly Bills"
16,category_mapSports
16,category_mapTravel
16,category_mapVolunteer
16,category_mapWishes
16,goal_category>50K
16,goal_category20K-50K
16,goal_category5K-20K
16,duration_category>90gg
16,duration_category30-60gg
16,duration_category60-90gg
16,pct_goal_cum_d14
16,pct_goal_cum_d15
16,pct_goal_cum_d16
16,donors_cum_d14
16,donors_cum_d15
16,donors_cum_d16
16,pct_goal_speed
16,donors_speed
17,goal_amount
17,campaign_duration
17,text_length
17,n_caratteri
17,n_parole
17,n_frasi
17,parole_per_frase
17,caratteri_per_parola
17,positive_emotions
17,negative_emotions
17,emotional_balance
17,intensita_emotiva_totale
17,densita_emotiva
17,disaster
17,category_mapBusiness
17,category_mapCommunity
17,category_mapCompetitions
17,category_mapCreative
17,category_mapEducation
17,category_mapEmergencies
17,category_mapEnvironment
17,category_mapEvents
17,category_mapFaith
17,category_mapFamily
17,category_mapFunerals & Memorials
17,category_mapMedical
17,category_mapNon-Profits & Charities
17,category_mapOther
17,"category_mapRent, Food & Monthly Bills"
17,category_mapSports
17,category_mapTravel
17,category_mapVolunteer
17,category_mapWishes
17,goal_category>50K
17,goal_category20K-50K
17,goal_category5K-20K
17,duration_category>90gg
17,duration_category30-60gg
17,duration_category60-90gg
17,pct_goal_cum_d15
17,pct_goal_cum_d16
17,pct_goal_cum_d17
17,donors_cum_d15
17,donors_cum_d16
17,donors_cum_d17
17,pct_goal_speed
17,donors_speed
18,goal_amount
18,campaign_duration
18,text_length
18,n_caratteri
18,n_parole
18,n_frasi
18,parole_per_frase
18,caratteri_per_parola
18,positive_emotions
18,negative_emotions
18,emotional_balance
18,intensita_emotiva_totale
18,densita_emotiva
18,disaster
18,category_mapBusiness
18,category_mapCommunity
18,category_mapCompetitions
18,category_mapCreative
18,category_mapEducation
18,category_mapEmergencies
18,category_mapEnvironment
18,category_mapEvents
18,category_mapFaith
18,category_mapFamily
18,category_mapFunerals & Memorials
18,category_mapMedical
18,category_mapNon-Profits & Charities
18,category_mapOther
18,"category_mapRent, Food & Monthly Bills"
18,category_mapSports
18,category_mapTravel
18,category_mapVolunteer
18,category_mapWishes
18,goal_category>50K
18,goal_category20K-50K
18,goal_category5K-20K
18,duration_category>90gg
18,duration_category30-60gg
18,duration_category60-90gg
18,pct_goal_cum_d16
18,pct_goal_cum_d17
18,pct_goal_cum_d18
18,donors_cum_d16
18,donors_cum_d17
18,donors_cum_d18
18,pct_goal_speed
18,donors_speed
19,goal_amount
19,campaign_duration
19,text_length
19,n_caratteri
19,n_parole
19,n_frasi
19,parole_per_frase
19,caratteri_per_parola
19,positive_emotions
19,negative_emotions
19,emotional_balance
19,intensita_emotiva_totale
19,densita_emotiva
19,disaster
19,category_mapBusiness
19,category_mapCommunity
19,category_mapCompetitions
19,category_mapCreative
19,category_mapEducation
19,category_mapEmergencies
19,category_mapEnvironment
19,category_mapEvents
19,category_mapFaith
19,category_mapFamily
19,category_mapFunerals & Memorials
19,category_mapMedical
19,category_mapNon-Profits & Charities
19,category_mapOther
19,"category_mapRent, Food & Monthly Bills"
19,category_mapSports
19,category_mapTravel
19,category_mapVolunteer
19,category_mapWishes
19,goal_category>50K
19,goal_category20K-50K
19,goal_category5K-20K
19,duration_category>90gg
19,duration_category30-60gg
19,duration_category60-90gg
19,pct_goal_cum_d17
19,pct_goal_cum_d18
19,pct_goal_cum_d19
19,donors_cum_d17
19,donors_cum_d18
19,donors_cum_d19
19,pct_goal_speed
19,donors_speed
20,goal_amount
20,campaign_duration
20,text_length
20,n_caratteri
20,n_parole
20,n_frasi
20,parole_per_frase
20,caratteri_per_parola
20,positive_emotions
20,negative_emotions
20,emotional_balance
20,intensita_emotiva_totale
20,densita_emotiva
20,disaster
20,category_mapBusiness
20,category_mapCommunity
20,category_mapCompetitions
20,category_mapCreative
20,category_mapEducation
20,category_mapEmergencies
20,category_mapEnvironment
20,category_mapEvents
20,category_mapFaith
20,category_mapFamily
20,category_mapFunerals & Memorials
20,category_mapMedical
20,category_mapNon-Profits & Charities
20,category_mapOther
