threshold,MCC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,TP,TN,FP,FN
0.12,0.17061611662896298,0.5796007789678675,0.6243784465093657,0.19751809720785937,0.6858168761220825,0.5629400168966489,0.3067041348855881,382,1999,1552,175
0.52,0.16577411931715103,0.8675754625121713,0.528320593435384,0.6140350877192983,0.06283662477558348,0.9938045620951844,0.11400651465798045,35,3529,22,522
0.11,0.16366517054064247,0.5355404089581305,0.6193279057104302,0.18856615952051636,0.7342908438061041,0.5043649676147564,0.30007336757153336,409,1791,1760,148
0.09999999999999999,0.1604128822144401,0.4878286270691334,0.6151927264527605,0.18129377832715288,0.7899461400359067,0.4404393128696142,0.29490616621983917,440,1564,1987,117
0.53,0.16030724056413181,0.867332035053554,0.5266660667058664,0.6111111111111112,0.059245960502693,0.9940861729090397,0.10801963993453353,33,3530,21,524
0.55,0.15128471570470586,0.8670886075949367,0.5234978186537588,0.6170212765957447,0.05206463195691203,0.9949310053506054,0.09602649006622517,29,3533,18,528
0.56,0.15059340992728612,0.867332035053554,0.5221249027380964,0.6428571428571429,0.04847396768402154,0.9957758377921713,0.09015025041736226,27,3536,15,530
0.54,0.15057708711187304,0.8668451801363194,0.5241138739081261,0.6,0.05385996409335727,0.9943677837228949,0.09884678747940692,30,3531,20,527
0.09,0.1465401752340113,0.4359785783836417,0.601852109325666,0.1721311475409836,0.829443447037702,0.37426077161362997,0.28509719222462204,462,1329,2222,95
0.5700000000000001,0.1297907421188484,0.866601752677702,0.5164044618882485,0.6451612903225806,0.03590664272890485,0.9969022810475923,0.06802721088435373,20,3540,11,537
0.5800000000000001,0.12978168386782152,0.8668451801363194,0.5150315459725862,0.6923076923076923,0.03231597845601436,0.997747113489158,0.06174957118353345,18,3543,8,539
0.08,0.12463617343163301,0.377555988315482,0.5816823035663456,0.16216216216216217,0.8617594254937163,0.30160518163897493,0.27295990901336364,480,1071,2480,77
0.6,0.11367597402749234,0.8663583252190847,0.510965631852256,0.7222222222222222,0.02333931777378815,0.9985919459307238,0.04521739130434782,13,3546,5,544
0.59,0.10733266254335468,0.8658714703018501,0.5114408816996957,0.6363636363636364,0.025134649910233394,0.997747113489158,0.04835924006908463,14,3543,8,543
0.61,0.1056982160453971,0.8661148977604674,0.5093111051227384,0.7333333333333333,0.019748653500897665,0.998873556744579,0.03846153846153846,11,3547,4,546
0.62,0.10428358615319312,0.8661148977604674,0.5085542444614434,0.7692307692307693,0.017953321364452424,0.9991551675584343,0.03508771929824562,10,3548,3,547
0.06999999999999999,0.10301869709986392,0.3157254138266796,0.5610549434326285,0.15365703749231716,0.8976660682226212,0.22444381864263588,0.2623983206507478,500,797,2754,57
0.060000000000000005,0.07918705341858148,0.2629016553067186,0.5410962193874637,0.14689911403258074,0.9228007181328546,0.15939172064207266,0.2534516765285996,514,566,2985,43
0.64,0.0698365187384327,0.865141187925998,0.5042067195272578,0.7142857142857143,0.008976660682226212,0.9994367783722895,0.017730496453900707,5,3549,2,552
0.65,0.0698365187384327,0.865141187925998,0.5042067195272578,0.7142857142857143,0.008976660682226212,0.9994367783722895,0.017730496453900707,5,3549,2,552
0.63,0.06314721606718747,0.8648977604673808,0.5040659141203302,0.625,0.008976660682226212,0.9991551675584343,0.017699115044247787,5,3548,3,552
0.05,0.053158160243831853,0.2103213242453749,0.5220351614105213,0.14125500667556742,0.9497307001795332,0.09433962264150944,0.24593212459321245,529,335,3216,28
0.68,0.03939901706925117,0.8646543330087634,0.5008976660682226,1,0.0017953321364452424,1,0.0035842293906810036,1,3551,0,556
0.6900000000000001,0.03939901706925117,0.8646543330087634,0.5008976660682226,1,0.0017953321364452424,1,0.0035842293906810036,1,3551,0,556
0.66,0.03323113587845775,0.8644109055501461,0.50151372132259,0.5,0.003590664272890485,0.9994367783722895,0.007130124777183601,2,3549,2,555
0.04,0.024878306732049934,0.17380720545277506,0.5077260963230323,0.13749041656018401,0.9658886894075404,0.04956350323852436,0.24071588366890384,538,176,3375,19
0.67,0.023492237993884887,0.8644109055501461,0.500756860661295,0.5,0.0017953321364452424,0.9997183891861448,0.003577817531305904,1,3550,1,556
0.02,0.016517772614126677,0.13972736124634857,0.5016368312564746,0.1359745659085351,0.9982046678635548,0.005068994649394537,0.23934567369780455,556,18,3533,1
0.03,0.013687064113093773,0.14922103213242455,0.502587078158882,0.13620604259534422,0.9874326750448833,0.017741481272880878,0.23939064200217625,550,63,3488,7
0.01,NA,0.13558909444985395,0.5,0.13558909444985395,1,0,0.23879957127545554,557,0,3551,0
0.7000000000000001,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
0.7100000000000001,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
0.72,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
0.73,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
0.74,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
0.75,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
0.76,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
0.77,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
0.78,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
0.79,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
0.8,NA,0.8644109055501461,0.5,NA,0,1,NA,0,3551,0,557
