day,T,NB_star_mean,NB_robust_mean,NB_low90_rob_mean,max_NB_point_mean,max_NB_low90_mean,prevalence_mean,day_next,U_now,U_next,VOI,wait_k,utility_used
13,75,0.1355885173064228,0.1355885173064228,0.11844323500933548,0.1355885173064228,0.11844323500933548,0.24458943543293132,14,0.1355885173064228,0.13367130596310717,-0.003917211343315628,1,max_NB_point_mean
14,75,0.13367130596310717,0.13367130596310717,0.1165763931197682,0.13367130596310717,0.1165763931197682,0.24458943543293132,15,0.13367130596310717,0.13039903705030212,-0.005272268912805049,1,max_NB_point_mean
15,75,0.13039903705030212,0.13039903705030212,0.11357856006954825,0.13039903705030212,0.11357856006954825,0.24458943543293132,16,0.13039903705030212,0.130943776620984,-0.0014552604293181209,1,max_NB_point_mean
16,75,0.130943776620984,0.130943776620984,0.11320664184605704,0.130943776620984,0.11320664184605704,0.24458943543293132,17,0.130943776620984,0.13694420654873354,0.004000429927749545,1,max_NB_point_mean
17,75,0.13694420654873354,0.13694420654873354,0.11778132095899045,0.13694420654873354,0.11778132095899045,0.24458943543293132,18,0.13694420654873354,0.1346624988619099,-0.0042817076868236475,1,max_NB_point_mean
18,75,0.1346624988619099,0.1346624988619099,0.11704819038277806,0.1346624988619099,0.11704819038277806,0.24458943543293132,19,0.1346624988619099,0.1323395375156847,-0.0043229613462252,1,max_NB_point_mean
19,75,0.1323395375156847,0.1323395375156847,0.11499870361267849,0.1323395375156847,0.11499870361267849,0.24458943543293132,20,0.1323395375156847,0.13329496558264503,-0.0010445719330396657,1,max_NB_point_mean
1,75,0.08726464202084415,0.08726464202084415,0.07312858080188983,0.08726464202084415,0.07312858080188983,0.24458943543293132,3,0.08726464202084415,0.11551054309056984,0.024245901069725687,2,max_NB_point_mean
2,75,0.1083384827847962,0.1083384827847962,0.09209950680974584,0.1083384827847962,0.09209950680974584,0.24458943543293132,4,0.1083384827847962,0.12287642998527679,0.010537947200480586,2,max_NB_point_mean
3,75,0.11551054309056984,0.11551054309056984,0.09985106016825165,0.11551054309056984,0.09985106016825165,0.24458943543293132,5,0.11551054309056984,0.12241205295400454,0.0029015098634346988,2,max_NB_point_mean
4,75,0.12287642998527679,0.12287642998527679,0.10692986095596907,0.12287642998527679,0.10692986095596907,0.24458943543293132,6,0.12287642998527679,0.1239075164751089,-0.0029689135101678803,2,max_NB_point_mean
5,75,0.12241205295400454,0.12241205295400454,0.10562587704652353,0.12241205295400454,0.10562587704652353,0.24458943543293132,7,0.12241205295400454,0.12764986205497808,0.001237809100973545,2,max_NB_point_mean
6,75,0.1239075164751089,0.1239075164751089,0.10773351540783703,0.1239075164751089,0.10773351540783703,0.24458943543293132,8,0.1239075164751089,0.13054829706839674,0.0026407805932878343,2,max_NB_point_mean
7,75,0.12764986205497808,0.12764986205497808,0.11105705926766866,0.12764986205497808,0.11105705926766866,0.24458943543293132,9,0.12764986205497808,0.1317969382968357,1.4707624185761672e-4,2,max_NB_point_mean
8,75,0.13054829706839674,0.13054829706839674,0.11438731840786283,0.13054829706839674,0.11438731840786283,0.24458943543293132,10,0.13054829706839674,0.1320453885843943,-0.002502908484002444,2,max_NB_point_mean
9,75,0.1317969382968357,0.1317969382968357,0.11508135661658862,0.1317969382968357,0.11508135661658862,0.24458943543293132,11,0.1317969382968357,0.12908352368168574,-0.006713414615149956,2,max_NB_point_mean
10,75,0.1320453885843943,0.1320453885843943,0.114373981040087,0.1320453885843943,0.114373981040087,0.24458943543293132,12,0.1320453885843943,0.1320772601151557,-0.003968128469238604,2,max_NB_point_mean
11,75,0.12908352368168574,0.12908352368168574,0.1116002589327277,0.12908352368168574,0.1116002589327277,0.24458943543293132,13,0.12908352368168574,0.1355885173064228,0.0025049936247370543,2,max_NB_point_mean
12,75,0.1320772601151557,0.1320772601151557,0.11485649554593184,0.1320772601151557,0.11485649554593184,0.24458943543293132,14,0.1320772601151557,0.13367130596310717,-0.002405954152048525,2,max_NB_point_mean
13,75,0.1355885173064228,0.1355885173064228,0.11844323500933548,0.1355885173064228,0.11844323500933548,0.24458943543293132,15,0.1355885173064228,0.13039903705030212,-0.009189480256120677,2,max_NB_point_mean
14,75,0.13367130596310717,0.13367130596310717,0.1165763931197682,0.13367130596310717,0.1165763931197682,0.24458943543293132,16,0.13367130596310717,0.130943776620984,-0.0067275293421231695,2,max_NB_point_mean
15,75,0.13039903705030212,0.13039903705030212,0.11357856006954825,0.13039903705030212,0.11357856006954825,0.24458943543293132,17,0.13039903705030212,0.13694420654873354,0.0025451694984314245,2,max_NB_point_mean
16,75,0.130943776620984,0.130943776620984,0.11320664184605704,0.130943776620984,0.11320664184605704,0.24458943543293132,18,0.130943776620984,0.1346624988619099,-2.812777590741021e-4,2,max_NB_point_mean
17,75,0.13694420654873354,0.13694420654873354,0.11778132095899045,0.13694420654873354,0.11778132095899045,0.24458943543293132,19,0.13694420654873354,0.1323395375156847,-0.008604669033048847,2,max_NB_point_mean
18,75,0.1346624988619099,0.1346624988619099,0.11704819038277806,0.1346624988619099,0.11704819038277806,0.24458943543293132,20,0.1346624988619099,0.13329496558264503,-0.005367533279264865,2,max_NB_point_mean
1,75,0.08726464202084415,0.08726464202084415,0.07312858080188983,0.08726464202084415,0.07312858080188983,0.24458943543293132,4,0.08726464202084415,0.12287642998527679,0.02961178796443264,3,max_NB_point_mean
2,75,0.1083384827847962,0.1083384827847962,0.09209950680974584,0.1083384827847962,0.09209950680974584,0.24458943543293132,5,0.1083384827847962,0.12241205295400454,0.008073570169208335,3,max_NB_point_mean
3,75,0.11551054309056984,0.11551054309056984,0.09985106016825165,0.11551054309056984,0.09985106016825165,0.24458943543293132,6,0.11551054309056984,0.1239075164751089,0.002396973384539069,3,max_NB_point_mean
4,75,0.12287642998527679,0.12287642998527679,0.10692986095596907,0.12287642998527679,0.10692986095596907,0.24458943543293132,7,0.12287642998527679,0.12764986205497808,-0.0012265679302987057,3,max_NB_point_mean
5,75,0.12241205295400454,0.12241205295400454,0.10562587704652353,0.12241205295400454,0.10562587704652353,0.24458943543293132,8,0.12241205295400454,0.13054829706839674,0.0021362441143922047,3,max_NB_point_mean
6,75,0.1239075164751089,0.1239075164751089,0.10773351540783703,0.1239075164751089,0.10773351540783703,0.24458943543293132,9,0.1239075164751089,0.1317969382968357,0.0018894218217267913,3,max_NB_point_mean
7,75,0.12764986205497808,0.12764986205497808,0.11105705926766866,0.12764986205497808,0.11105705926766866,0.24458943543293132,10,0.12764986205497808,0.1320453885843943,-0.001604473470583784,3,max_NB_point_mean
8,75,0.13054829706839674,0.13054829706839674,0.11438731840786283,0.13054829706839674,0.11438731840786283,0.24458943543293132,11,0.13054829706839674,0.12908352368168574,-0.007464773386710999,3,max_NB_point_mean
9,75,0.1317969382968357,0.1317969382968357,0.11508135661658862,0.1317969382968357,0.11508135661658862,0.24458943543293132,12,0.1317969382968357,0.1320772601151557,-0.005719678181680005,3,max_NB_point_mean
10,75,0.1320453885843943,0.1320453885843943,0.114373981040087,0.1320453885843943,0.114373981040087,0.24458943543293132,13,0.1320453885843943,0.1355885173064228,-0.002456871277971501,3,max_NB_point_mean
